original_row,row_hash,group_id,fold,split,multiclass_label,binary_label
0,11369960380269862979,192.168.1.1,4,train,DDoS-PSH-ACK,1
1,10441533675319457116,192.168.1.1,4,train,DDoS-PSH-ACK,1
2,10572385870628119995,192.168.1.1,4,train,DDoS-PSH-ACK,1
3,15465293024950665856,192.168.1.1,4,train,DDoS-PSH-ACK,1
4,16195737180807527883,192.168.1.1,4,train,DDoS-PSH-ACK,1
5,11884259357709724802,192.168.1.1,4,train,DDoS-PSH-ACK,1
6,10449590513762850110,192.168.1.1,4,train,DDoS-PSH-ACK,1
7,5480823467684763817,192.168.1.1,4,train,DDoS-PSH-ACK,1
8,12504750009983445843,192.168.1.1,4,train,DDoS-PSH-ACK,1
9,6578030687690898671,192.168.1.1,4,train,DDoS-PSH-ACK,1
10,10054630241728191747,192.168.1.1,4,train,DDoS-PSH-ACK,1
11,6045164412595958852,192.168.1.1,4,train,DDoS-PSH-ACK,1
12,12949887079580717824,192.168.1.1,4,train,DDoS-PSH-ACK,1
13,16841718944084894102,192.168.1.1,4,train,DDoS-PSH-ACK,1
14,14014931852349666626,192.168.1.1,4,train,DDoS-PSH-ACK,1
15,16928706763602946554,192.168.1.1,4,train,DDoS-PSH-ACK,1
16,16216021654980003014,192.168.1.1,4,train,DDoS-PSH-ACK,1
17,8748262969037755025,192.168.1.1,4,train,DDoS-PSH-ACK,1
18,10296760394283721448,192.168.1.1,4,train,DDoS-PSH-ACK,1
19,13949689405987092381,192.168.1.1,4,train,DDoS-PSH-ACK,1
20,13364778456440788603,192.168.1.1,4,train,DDoS-PSH-ACK,1
21,15856160083890352857,192.168.1.1,4,train,DDoS-PSH-ACK,1
22,14781961346099927294,192.168.1.1,4,train,DDoS-PSH-ACK,1
23,16494963045513063078,192.168.1.1,4,train,DDoS-PSH-ACK,1
24,10824796310147658602,192.168.1.1,4,train,DDoS-PSH-ACK,1
25,8853233048828320920,192.168.1.1,4,train,DDoS-PSH-ACK,1
26,4840615727920217400,192.168.1.1,4,train,DDoS-PSH-ACK,1
27,9152473758172258457,192.168.1.1,4,train,DDoS-PSH-ACK,1
28,10933487762176851777,192.168.1.1,4,train,DDoS-PSH-ACK,1
29,15545720139379229518,192.168.1.1,4,train,DDoS-PSH-ACK,1
30,13737582267303165605,192.168.1.1,4,train,DDoS-PSH-ACK,1
31,332003105140798021,192.168.1.1,4,train,DDoS-PSH-ACK,1
32,12554853800933678141,192.168.1.1,4,train,DDoS-PSH-ACK,1
33,3494682930930530305,192.168.1.1,4,train,DDoS-PSH-ACK,1
34,17199413627147348831,192.168.1.1,4,train,DDoS-PSH-ACK,1
35,4517837685964914903,192.168.1.1,4,train,DDoS-PSH-ACK,1
36,15632571873074269646,192.168.1.1,4,train,DDoS-PSH-ACK,1
37,11302026551369974103,192.168.1.1,4,train,DDoS-PSH-ACK,1
38,12936032734613985887,192.168.1.1,4,train,DDoS-PSH-ACK,1
39,9200493266344832957,192.168.1.1,4,train,DDoS-PSH-ACK,1
40,13919810388427885049,192.168.1.1,4,train,DDoS-PSH-ACK,1
41,1851590116120018097,192.168.1.1,4,train,DDoS-PSH-ACK,1
42,2323959583511599616,192.168.1.1,4,train,DDoS-PSH-ACK,1
43,17447989977521004336,192.168.1.1,4,train,DDoS-PSH-ACK,1
44,17650361663308196486,192.168.1.1,4,train,DDoS-PSH-ACK,1
45,5887864662715708829,192.168.1.1,4,train,DDoS-PSH-ACK,1
46,9817513151045688667,192.168.1.1,4,train,DDoS-PSH-ACK,1
47,10282800019769634632,192.168.1.1,4,train,DDoS-PSH-ACK,1
48,18338201597685937575,192.168.1.1,4,train,DDoS-PSH-ACK,1
49,4527538278868535852,192.168.1.1,4,train,DDoS-PSH-ACK,1
50,10691614474998324323,192.168.1.1,4,train,DDoS-PSH-ACK,1
51,16055088407660049713,192.168.1.1,4,train,DDoS-PSH-ACK,1
52,3530770604819210861,192.168.1.1,4,train,DDoS-PSH-ACK,1
53,5651676539555168762,192.168.1.1,4,train,DDoS-PSH-ACK,1
54,6374657799519296194,192.168.1.1,4,train,DDoS-PSH-ACK,1
55,8624872336507169357,192.168.1.1,4,train,DDoS-PSH-ACK,1
56,9967888026264481953,192.168.1.1,4,train,DDoS-PSH-ACK,1
57,2367239278685718899,192.168.1.1,4,train,DDoS-PSH-ACK,1
58,10704776062209590529,192.168.1.1,4,train,DDoS-PSH-ACK,1
59,16883016099035743663,192.168.1.1,4,train,DDoS-PSH-ACK,1
60,1954446832862059773,192.168.1.1,4,train,DDoS-PSH-ACK,1
61,4090590497618135528,192.168.1.1,4,train,DDoS-PSH-ACK,1
62,17493422104587387405,192.168.1.1,4,train,DDoS-PSH-ACK,1
63,14738951681771433951,192.168.1.1,4,train,DDoS-PSH-ACK,1
64,7278219915446875236,192.168.1.1,4,train,DDoS-PSH-ACK,1
65,13759647580463326870,192.168.1.1,4,train,DDoS-PSH-ACK,1
66,6994241699597307600,192.168.1.1,4,train,DDoS-PSH-ACK,1
67,17480268124410297787,192.168.1.1,4,train,DDoS-PSH-ACK,1
68,10426604301897144341,192.168.1.1,4,train,DDoS-PSH-ACK,1
69,13797957669569512275,192.168.1.1,4,train,DDoS-PSH-ACK,1
70,363707046206208694,192.168.1.1,4,train,DDoS-PSH-ACK,1
71,10807271486440396337,192.168.1.1,4,train,DDoS-PSH-ACK,1
72,5773754674120928240,192.168.1.1,4,train,DDoS-PSH-ACK,1
73,7045358572090586254,192.168.1.1,4,train,DDoS-PSH-ACK,1
74,17574918268745641603,192.168.1.1,4,train,DDoS-PSH-ACK,1
75,2223392184193998004,192.168.1.1,4,train,DDoS-PSH-ACK,1
76,8983943757771837946,192.168.1.1,4,train,DDoS-PSH-ACK,1
77,17694226305267553199,192.168.1.1,4,train,DDoS-PSH-ACK,1
78,3949234824205121620,192.168.1.1,4,train,DDoS-PSH-ACK,1
79,5725300178926785615,192.168.1.1,4,train,DDoS-PSH-ACK,1
80,14198450374022906154,192.168.1.1,4,train,DDoS-PSH-ACK,1
81,13481858953511820256,192.168.1.1,4,train,DDoS-PSH-ACK,1
82,11692167174440455921,192.168.1.1,4,train,DDoS-PSH-ACK,1
83,8384667760181211212,192.168.1.1,4,train,DDoS-PSH-ACK,1
84,11728753543018518336,192.168.1.1,4,train,DDoS-PSH-ACK,1
85,13641298132931808901,192.168.1.1,4,train,DDoS-PSH-ACK,1
86,2375329729204977900,192.168.1.1,4,train,DDoS-PSH-ACK,1
87,14180712190893610383,192.168.1.1,4,train,DDoS-PSH-ACK,1
88,17752522692213296513,192.168.1.1,4,train,DDoS-PSH-ACK,1
89,16104405432697410261,192.168.1.1,4,train,DDoS-PSH-ACK,1
90,9418114571609747174,192.168.1.1,4,train,DDoS-PSH-ACK,1
91,6821744438775176188,192.168.1.1,4,train,DDoS-PSH-ACK,1
92,238149604264285002,192.168.1.1,4,train,DDoS-PSH-ACK,1
93,14756172959834052459,192.168.1.1,4,train,DDoS-PSH-ACK,1
94,7858048539302303616,192.168.1.1,4,train,DDoS-PSH-ACK,1
95,17856856663608788389,192.168.1.1,4,train,DDoS-PSH-ACK,1
96,13228978414949880539,192.168.1.1,4,train,DDoS-PSH-ACK,1
97,15944679388457863572,192.168.1.1,4,train,DDoS-PSH-ACK,1
98,12614499898984848864,192.168.1.1,4,train,DDoS-PSH-ACK,1
99,11984635519159186792,192.168.1.1,4,train,DDoS-PSH-ACK,1
100,9932988144402965280,192.168.1.1,4,train,DDoS-PSH-ACK,1
101,17346001799320092226,192.168.1.1,4,train,DDoS-PSH-ACK,1
102,17691865502086543170,192.168.1.1,4,train,DDoS-PSH-ACK,1
103,17678047886751773827,192.168.1.1,4,train,DDoS-PSH-ACK,1
104,4405363466407815835,192.168.1.1,4,train,DDoS-PSH-ACK,1
105,15079389086591815120,192.168.1.1,4,train,DDoS-PSH-ACK,1
106,16608990567932299425,192.168.1.1,4,train,DDoS-PSH-ACK,1
107,2286189589630073332,192.168.1.1,4,train,DDoS-PSH-ACK,1
108,13192778798415819703,192.168.1.1,4,train,DDoS-PSH-ACK,1
109,10809776707065257763,192.168.1.1,4,train,DDoS-PSH-ACK,1
110,3706283073030956972,192.168.1.1,4,train,DDoS-PSH-ACK,1
111,496239103410021991,192.168.1.1,4,train,DDoS-PSH-ACK,1
112,14642146675027344664,192.168.1.1,4,train,DDoS-PSH-ACK,1
113,10914767368774379174,192.168.1.1,4,train,DDoS-PSH-ACK,1
114,400380748215415482,192.168.1.1,4,train,DDoS-PSH-ACK,1
115,15844436202099687036,192.168.1.1,4,train,DDoS-PSH-ACK,1
116,3501297746323681409,192.168.1.1,4,train,DDoS-PSH-ACK,1
117,17158680680067936906,192.168.1.1,4,train,DDoS-PSH-ACK,1
118,3873858966891363867,192.168.1.1,4,train,DDoS-PSH-ACK,1
119,2571031119642498075,192.168.1.1,4,train,DDoS-PSH-ACK,1
120,4844957343327528768,192.168.1.1,4,train,DDoS-PSH-ACK,1
121,15558311252032344467,192.168.1.1,4,train,DDoS-PSH-ACK,1
122,5314961472330291028,192.168.1.1,4,train,DDoS-PSH-ACK,1
123,11091556753203490800,192.168.1.1,4,train,DDoS-PSH-ACK,1
124,16633274154345947666,192.168.1.1,4,train,DDoS-PSH-ACK,1
125,5665879047486133357,192.168.1.1,4,train,DDoS-PSH-ACK,1
126,1319182965447233285,192.168.1.1,4,train,DDoS-PSH-ACK,1
127,6584174365043190251,192.168.1.1,4,train,DDoS-PSH-ACK,1
128,8973672311984869604,192.168.1.1,4,train,DDoS-PSH-ACK,1
129,7748580687751642927,192.168.1.1,4,train,DDoS-PSH-ACK,1
130,1482038487214156967,192.168.1.1,4,train,DDoS-PSH-ACK,1
131,2307489805488393989,192.168.1.1,4,train,DDoS-PSH-ACK,1
132,6156686680204779518,192.168.1.1,4,train,DDoS-PSH-ACK,1
133,6338037045105057759,192.168.1.1,4,train,DDoS-PSH-ACK,1
134,16231383024139998325,192.168.1.1,4,train,DDoS-PSH-ACK,1
135,6391028163312371977,192.168.1.1,4,train,DDoS-PSH-ACK,1
136,1863654251203618116,192.168.1.1,4,train,DDoS-PSH-ACK,1
137,1739196899298430585,192.168.1.1,4,train,DDoS-PSH-ACK,1
138,7687885126042950033,192.168.1.1,4,train,DDoS-PSH-ACK,1
139,15402470891189918634,192.168.1.1,4,train,DDoS-PSH-ACK,1
140,7730528975203115096,192.168.1.1,4,train,DDoS-PSH-ACK,1
141,1047498153638195964,192.168.1.1,4,train,DDoS-PSH-ACK,1
142,14987715796194557803,192.168.1.1,4,train,DDoS-PSH-ACK,1
143,6952532054981088138,192.168.1.1,4,train,DDoS-PSH-ACK,1
144,11927604716749685294,192.168.1.1,4,train,DDoS-PSH-ACK,1
145,6454697585161409090,192.168.1.1,4,train,DDoS-PSH-ACK,1
146,3035595652157474263,192.168.1.1,4,train,DDoS-PSH-ACK,1
147,9155183483917303202,192.168.1.1,4,train,DDoS-PSH-ACK,1
148,3083108939135781879,192.168.1.1,4,train,DDoS-PSH-ACK,1
149,11682803679930652147,192.168.1.1,4,train,DDoS-PSH-ACK,1
150,5608243487710016818,192.168.1.1,4,train,DDoS-PSH-ACK,1
151,11575265824227381469,192.168.1.1,4,train,DDoS-PSH-ACK,1
152,17432121541402131917,192.168.1.1,4,train,DDoS-PSH-ACK,1
153,5091865999028617748,192.168.1.1,4,train,DDoS-PSH-ACK,1
154,5953157207155671540,192.168.1.1,4,train,DDoS-PSH-ACK,1
155,5625221264495818194,192.168.1.1,4,train,DDoS-PSH-ACK,1
156,17698466350800930048,192.168.1.1,4,train,DDoS-PSH-ACK,1
