original_row,row_hash,group_id,fold,split,multiclass_label,binary_label
0,14349050162879459899,MITM|segment00,3,train,MITM,1
1,3990570659417226990,MITM|segment00,3,train,MITM,1
8,11685830598387169141,MITM|segment00,3,train,MITM,1
29,8652975694728999761,MITM|segment00,3,train,MITM,1
30,17169073661282816752,MITM|segment00,3,train,MITM,1
32,14070284225159612057,MITM|segment00,3,train,MITM,1
33,2982093760295981872,MITM|segment00,3,train,MITM,1
35,6114473515736029426,MITM|segment00,3,train,MITM,1
40,10405314727883515801,MITM|segment00,3,train,MITM,1
41,9199579573911931126,MITM|segment00,3,train,MITM,1
42,7123660458975376538,MITM|segment00,3,train,MITM,1
43,13341708497340487455,MITM|segment00,3,train,MITM,1
44,9134639172050562914,MITM|segment00,3,train,MITM,1
65,2857739281287435043,MITM|segment00,3,train,MITM,1
66,2627699904120717951,MITM|segment00,3,train,MITM,1
67,15051703780936174336,MITM|segment00,3,train,MITM,1
68,1427333200850629821,MITM|segment00,3,train,MITM,1
70,13209375113624739216,MITM|segment00,3,train,MITM,1
71,5901886920949201360,MITM|segment00,3,train,MITM,1
72,4682840810001731662,MITM|segment00,3,train,MITM,1
73,17930589393579687454,MITM|segment00,3,train,MITM,1
74,12998506108911080488,MITM|segment00,3,train,MITM,1
75,6699866740085585527,MITM|segment00,3,train,MITM,1
76,10800148196134417284,MITM|segment00,3,train,MITM,1
77,6776567377269696684,MITM|segment00,3,train,MITM,1
84,11625404988226448493,MITM|segment00,3,train,MITM,1
86,16402848900002333232,MITM|segment00,3,train,MITM,1
87,1648320047992655373,MITM|segment00,3,train,MITM,1
90,2397168525039298621,MITM|segment00,3,train,MITM,1
91,8865728200631836030,MITM|segment00,3,train,MITM,1
92,887568240653812234,MITM|segment00,3,train,MITM,1
95,16314075212909220207,MITM|segment00,3,train,MITM,1
96,14061807700574039959,MITM|segment00,3,train,MITM,1
97,14924133125325915181,MITM|segment00,3,train,MITM,1
115,253382471940577841,MITM|segment00,3,train,MITM,1
116,18102563444219807206,MITM|segment00,3,train,MITM,1
117,8245226345610284742,MITM|segment00,3,train,MITM,1
118,15616544735854576544,MITM|segment00,3,train,MITM,1
120,14786146611879416966,MITM|segment00,3,train,MITM,1
121,433323427327523673,MITM|segment00,3,train,MITM,1
122,10340973649636759227,MITM|segment01,1,validation,MITM,1
123,8199198003173797316,MITM|segment01,1,validation,MITM,1
126,6362503457868414444,MITM|segment01,1,validation,MITM,1
127,14573062933655476678,MITM|segment01,1,validation,MITM,1
128,5889264702593028982,MITM|segment01,1,validation,MITM,1
