original_row,row_hash,group_id,fold,split,multiclass_label,binary_label
0,10004118276248963260,192.168.1.37>192.168.1.193,0,test,backdoor,1
1,14383582327161507286,192.168.1.193>192.168.1.37,1,validation,backdoor,1
2,16843134056243266136,192.168.1.193>192.168.1.37,1,validation,backdoor,1
3,9040173850430253391,192.168.1.193>192.168.1.37,1,validation,backdoor,1
4,13523216968871653010,192.168.1.193>192.168.1.37,1,validation,backdoor,1
5,9103395703568156926,192.168.1.193>192.168.1.37,1,validation,backdoor,1
6,8474714204873362760,192.168.1.193>192.168.1.37,1,validation,backdoor,1
7,7771153556991920789,192.168.1.193>192.168.1.37,1,validation,backdoor,1
8,17964314181620060412,192.168.1.193>192.168.1.37,1,validation,backdoor,1
9,4131783352874015845,192.168.1.193>192.168.1.37,1,validation,backdoor,1
10,5220602647413221162,192.168.1.193>192.168.1.37,1,validation,backdoor,1
11,4681885207278722687,192.168.1.193>192.168.1.37,1,validation,backdoor,1
12,4880362820307134782,192.168.1.193>192.168.1.37,1,validation,backdoor,1
13,353889098617379303,192.168.1.193>192.168.1.37,1,validation,backdoor,1
14,15786803901606446685,192.168.1.193>192.168.1.37,1,validation,backdoor,1
15,17669325735654220027,192.168.1.193>192.168.1.37,1,validation,backdoor,1
16,1280229968718210192,192.168.1.193>192.168.1.37,1,validation,backdoor,1
17,928708219126764960,192.168.1.193>192.168.1.37,1,validation,backdoor,1
18,12501365607389757812,192.168.1.193>192.168.1.37,1,validation,backdoor,1
19,12289105173083839097,192.168.1.193>192.168.1.37,1,validation,backdoor,1
20,8784150034947776535,192.168.1.193>192.168.1.37,1,validation,backdoor,1
22,17325205477535946108,192.168.1.193>192.168.1.37,1,validation,backdoor,1
23,13191888840483225691,192.168.1.193>192.168.1.37,1,validation,backdoor,1
24,12011260332052547844,192.168.1.193>192.168.1.37,1,validation,backdoor,1
25,6743221542876926797,192.168.1.193>192.168.1.37,1,validation,backdoor,1
26,13241224441016367619,192.168.1.193>192.168.1.37,1,validation,backdoor,1
27,13641251629123994127,192.168.1.193>192.168.1.37,1,validation,backdoor,1
28,13461276015835060506,192.168.1.193>192.168.1.37,1,validation,backdoor,1
